pincode,city,district,state,lat,lng
127029,Leghan BO,Bhiwani,Haryana,28.6995,75.8708
127030,Dhabdhani BO,Bhiwani,Haryana,28.6358,75.9434
127031,Badesera BO,Bhiwani,Haryana,28.862,76.1407
127032,Milkpur BO,Bhiwani,Haryana,28.9449,76.0334
127035,Ratera BO,Bhiwani,Haryana,28.9639,75.9565
127040,Kharkhari Sohan BO,Bhiwani,Haryana,28.8725,75.9144
127041,Jatai BO,Bhiwani,Haryana,28.9734,76.1958
127042,Sanjarwas BO,Charki Dadri,Haryana,28.7129,76.2911
127043,Bhariwas BO,Bhiwani,Haryana,28.7218,75.7664
127045,Barwa SO,Bhiwani,Haryana,28.9648,75.6063
127046,Siwani SO,Bhiwani,Haryana,28.9084,75.6121
127111,Dang BO,Bhiwani,Haryana,28.8199,76.0653
127114,Kharak Kalan SO,Bhiwani,Haryana,28.828,76.3087
127201,Kural BO,Bhiwani,Haryana,28.4267,75.804
127306,Dhadhi Mandola BO,Charki Dadri,Haryana,28.5921,76.2653
127307,Achina SO,Charki Dadri,Haryana,28.6745,76.3707
127308,Kario Baniawalij BO,Charki Dadri,Haryana,28.5094,75.9376
127309,Neemriwali BO,Bhiwani,Haryana,28.7084,76.22
127310,Jawa BO,Charki Dadri,Haryana,28.5216,76.1508
127311,Dhana Ladan Pur BO,Bhiwani,Haryana,28.7158,76.1414
127312,Dagroli BO,Charki Dadri,Haryana,28.5074,76.0695
131001,Sonipat Mandi SO,Sonipat,Haryana,28.9559167,7.0249167
131021,Bahalgarh SO,Sonipat,Haryana,28.958175,77.0929861
131022,Salimsar Majra BO,Sonipat,Haryana,21.15,81.71
131023,Jakhauli SO,Sonipat,Haryana,28.93425,77.1521389
131024,Juan SO,Sonipat,Haryana,28.9330278,76.9749722
131027,Jainpur BO,Sonipat,Haryana,29.03,77.07
131028,Industrial Estate Kundli SO,Sonipat,Haryana,28.8653889,77.1265833
131029,PSRai SO,Sonipat,Haryana,28.9253611,77.1035833
131030,TDI City Kundli SO,Sonipat,Haryana,28.4391,77.3009
131039,Pipli Khera BO,Sonipat,Haryana,29.02,77.06
131101,Ganaur SO,Sonipat,Haryana,29.1263611,77.0201389
131102,Moi Majri BO,Sonipat,Haryana,28.98,77.1
131103,Nahri SO,Sonipat,Haryana,28.8556667,77.0456667
131301,Mini Sectt Gohana,Sonipat,Haryana,28.9926944,77.0179722
131302,Bichpari BO,Sonipat,Haryana,26.88,75.62
131304,Rindana BO,Sonipat,Haryana,29.14,77.08
131305,Kanyagurukul Khanpur SO,Sonipat,Haryana,29.156,76.8015556
131306,Busana BO,Sonipat,Haryana,28.87,76.91
131402,Sehri BO,Sonipat,Haryana,28.87,76.91
131403,Bindroli BO,Sonipat,Haryana,28.95,76.93
131408,Garhi Sisana ED BO,Sonipat,Haryana,28.9,76.84
131409,Bhainswal Kalan SO,Sonipat,Haryana,28.9894444,77.0252777
132001,Jundla Gate B.O,Karnal,Haryana,28.32,28.32
132022,Kunjpura S.O,Karnal,Haryana,29.7176111,77.0783056
132023,Subri B.O,Karnal,Haryana,29.6874444,76.9906666
132024,Agongh B.O,Karnal,Haryana,29.3959722,76.9606388
132036,Peont B.O,Karnal,Haryana,28.11111,29.4444
132037,Bajida Jattan B.O,Karnal,Haryana,29.3959722,76.9606388
132039,Assandh S.O,Karnal,Haryana,29.5212222,76.6070278
132040,Ballah S.O,Karnal,Haryana,29.5053611,76.7852222
132041,Indri S.O,Karnal,Haryana,29.5494444,77.0507778
132046,Salwan S.O,Karnal,Haryana,29.5052778,76.7146111
132054,Garhi Birbal S.O,Karnal,Haryana,29.9111944,77.1550278
132101,Machhrauli B.O,Panipat,Haryana,28.66,32.33
132102,Patti Kalyana S.O,Panipat,Haryana,29.2116944,77.2351667
132103,Panipat Sugar Mills S.O,Panipat,Haryana,29.3731944,76.9596944
132104,Nanhera B.O,Panipat,Haryana,23.36,36.35
132105,Untla B.O,Panipat,Haryana,29.3,33.6
132106,Panipat NFL S.O,Panipat,Haryana,29.36213889,76.97230556
132107,Ahar B.O,Panipat,Haryana,23.5,23.5
132108,Pasina Kalan BO B.O,Panipat,Haryana,25.3,25.3
132113,Joshi B.O,Panipat,Haryana,23.5,23.5
132114,Jamalpur B.O,Karnal,Haryana,23.12,23.12
132115,Hathwala S.O,Panipat,Haryana,29.2262222,77.1155556
132116,Nariana B.O,Karnal,Haryana,29.5902777,76.1099166
132117,Bhadson B.O,Karnal,Haryana,29.3959722,76.9606388
132122,Atta S.O,Panipat,Haryana,29.2515,77.0990833
132140,Ganjbarh B.O,Panipat,Haryana,23.5,23.5
132145,Palri B.O,Panipat,Haryana,23.5,23.5
132157,Nigdhu S.O,Karnal,Haryana,20.8370278,76.7370278
133001,Gobind Nagar S.O,Ambala,Haryana,30.3347222,76.8601389
